date,service_type,trips
2020-03-23,Taxi,13576
2020-03-23,FHV,28451
2020-03-24,Taxi,11851
2020-03-24,FHV,24713
2020-03-25,Taxi,11207
2020-03-25,FHV,24332
2020-03-26,Taxi,10666
2020-03-26,FHV,24108
2020-03-27,Taxi,11778
2020-03-27,FHV,24958
2020-03-28,Taxi,7633
2020-03-28,FHV,18108
2020-03-29,Taxi,5540
2020-03-29,FHV,12246
2020-03-30,Taxi,9579
2020-03-30,FHV,21711
2020-03-31,Taxi,9446
2020-03-31,FHV,20232
2020-04-01,Taxi,9468
2020-04-01,FHV,21349
2020-04-02,Taxi,8786
2020-04-02,FHV,20038
2020-04-03,Taxi,10309
2020-04-03,FHV,21878
2020-04-04,Taxi,6396
2020-04-04,FHV,15169
2020-04-05,Taxi,5046
2020-04-05,FHV,10426
2020-04-06,Taxi,8270
2020-04-06,FHV,19838
2020-04-07,Taxi,7886
2020-04-07,FHV,19082
2020-04-08,Taxi,7915
2020-04-08,FHV,18964
2020-04-09,Taxi,7827
2020-04-09,FHV,17619
2020-04-10,Taxi,8585
2020-04-10,FHV,18566
2020-04-11,Taxi,6269
2020-04-11,FHV,14855
2020-04-12,Taxi,4432
2020-04-12,FHV,10086
2020-04-13,Taxi,7469
2020-04-13,FHV,19235
2020-04-14,Taxi,8329
2020-04-14,FHV,18812
2020-04-15,Taxi,8303
2020-04-15,FHV,19229
2020-04-16,Taxi,8495
2020-04-16,FHV,19506
2020-04-17,Taxi,9672
2020-04-17,FHV,21873
2020-04-18,Taxi,5808
2020-04-18,FHV,15622
2020-04-19,Taxi,5122
2020-04-19,FHV,11394
2020-04-20,Taxi,8134
2020-04-20,FHV,21198
2020-04-21,Taxi,8085
2020-04-21,FHV,20268
2020-04-22,Taxi,8624
2020-04-22,FHV,21682
2020-04-23,Taxi,8720
2020-04-23,FHV,21696
2020-04-24,Taxi,9395
2020-04-24,FHV,23793
2020-04-25,Taxi,7219
2020-04-25,FHV,17880
2020-04-26,Taxi,4992
2020-04-26,FHV,12779
2020-04-27,Taxi,8904
2020-04-27,FHV,22952
2020-04-28,Taxi,9457
2020-04-28,FHV,22844
2020-04-29,Taxi,9683
2020-04-29,FHV,23822
2020-04-30,Taxi,10283
2020-04-30,FHV,23971
2020-05-01,Taxi,11893
2020-05-01,FHV,26375
2020-05-02,Taxi,8450
2020-05-02,FHV,20428
2020-05-03,Taxi,6416
2020-05-03,FHV,15599
2020-05-04,Taxi,10799
2020-05-04,FHV,25799
2020-05-05,Taxi,11205
2020-05-05,FHV,24505
2020-05-06,Taxi,11960
2020-05-06,FHV,24911
2020-05-07,Taxi,12065
2020-05-07,FHV,24988
2020-05-08,Taxi,13136
2020-05-08,FHV,27094
2020-05-09,Taxi,8609
2020-05-09,FHV,20348
2020-05-10,Taxi,7605
2020-05-10,FHV,18033
2020-05-11,Taxi,11885
2020-05-11,FHV,25994
2020-05-12,Taxi,12190
2020-05-12,FHV,25029
2020-05-13,Taxi,13019
2020-05-13,FHV,26534
2020-05-14,Taxi,13210
2020-05-14,FHV,26101
2020-05-15,Taxi,14576
2020-05-15,FHV,28948
2020-05-16,Taxi,10257
2020-05-16,FHV,22267
2020-05-17,Taxi,7403
2020-05-17,FHV,17310
2020-05-18,Taxi,12073
2020-05-18,FHV,27550
2020-05-19,Taxi,12224
2020-05-19,FHV,26645
2020-05-20,Taxi,12677
2020-05-20,FHV,28211
2020-05-21,Taxi,12807
2020-05-21,FHV,27636
2020-05-22,Taxi,13993
2020-05-22,FHV,29807
2020-05-23,Taxi,8009
2020-05-23,FHV,22382
2020-05-24,Taxi,7984
2020-05-24,FHV,19653
2020-05-25,Taxi,7664
2020-05-25,FHV,22302
2020-05-26,Taxi,13078
2020-05-26,FHV,29920
2020-05-27,Taxi,14262
2020-05-27,FHV,30353
2020-05-28,Taxi,13586
2020-05-28,FHV,29645
2020-05-29,Taxi,15176
2020-05-29,FHV,31052
2020-05-30,Taxi,11331
2020-05-30,FHV,25751
2020-05-31,Taxi,8826
2020-05-31,FHV,21304
2020-06-01,Taxi,14670
2020-06-01,FHV,32976
2020-06-02,Taxi,14958
2020-06-02,FHV,28667
2020-06-03,Taxi,14990
2020-06-03,FHV,30344
2020-06-04,Taxi,15836
2020-06-04,FHV,30711
2020-06-05,Taxi,16501
2020-06-05,FHV,31654
2020-06-06,Taxi,12131
2020-06-06,FHV,23735
2020-06-07,Taxi,9907
2020-06-07,FHV,20699
2020-06-08,Taxi,16974
2020-06-08,FHV,34721
2020-06-09,Taxi,17721
2020-06-09,FHV,35048
2020-06-10,Taxi,18018
2020-06-10,FHV,36770
2020-06-11,Taxi,17823
2020-06-11,FHV,35015
2020-06-12,Taxi,20108
2020-06-12,FHV,38003
2020-06-13,Taxi,14072
2020-06-13,FHV,29822
2020-06-14,Taxi,10891
2020-06-14,FHV,23494
2020-06-15,Taxi,18274
2020-06-15,FHV,36051
2020-06-16,Taxi,19661
2020-06-16,FHV,35278
2020-06-17,Taxi,19975
2020-06-17,FHV,36553
2020-06-18,Taxi,20301
2020-06-18,FHV,36637
2020-06-19,Taxi,22291
2020-06-19,FHV,38650
2020-06-20,Taxi,14803
2020-06-20,FHV,31180
2020-06-21,Taxi,12829
2020-06-21,FHV,25721
2020-06-22,Taxi,23092
2020-06-22,FHV,40409
2020-06-23,Taxi,24666
2020-06-23,FHV,39242
2020-06-24,Taxi,24945
2020-06-24,FHV,40027
2020-06-25,Taxi,25696
2020-06-25,FHV,39546
2020-06-26,Taxi,26228
2020-06-26,FHV,41545
2020-06-27,Taxi,17215
2020-06-27,FHV,32283
2020-06-28,Taxi,15201
2020-06-28,FHV,26036
2020-06-29,Taxi,24842
2020-06-29,FHV,41031
2020-06-30,Taxi,25159
2020-06-30,FHV,39758
2020-07-01,Taxi,25525
2020-07-01,FHV,39127
2020-07-02,Taxi,27359
2020-07-02,FHV,40085
2020-07-03,Taxi,20377
2020-07-03,FHV,33830
2020-07-04,Taxi,14476
2020-07-04,FHV,25861
2020-07-05,Taxi,14450
2020-07-05,FHV,22126
2020-07-06,Taxi,24504
2020-07-06,FHV,38469
2020-07-07,Taxi,26050
2020-07-07,FHV,38179
2020-07-08,Taxi,27038
2020-07-08,FHV,39909
2020-07-09,Taxi,28953
2020-07-09,FHV,40119
2020-07-10,Taxi,24098
2020-07-10,FHV,40625
2020-07-11,Taxi,18585
2020-07-11,FHV,29209
2020-07-12,Taxi,17086
2020-07-12,FHV,23989
2020-07-13,Taxi,25869
2020-07-13,FHV,40040
2020-07-14,Taxi,28472
2020-07-14,FHV,39245
2020-07-15,Taxi,29304
2020-07-15,FHV,40208
2020-07-16,Taxi,29279
2020-07-16,FHV,39134
2020-07-17,Taxi,27890
2020-07-17,FHV,39869
2020-07-18,Taxi,21800
2020-07-18,FHV,30972
2020-07-19,Taxi,17011
2020-07-19,FHV,23573
2020-07-20,Taxi,27104
2020-07-20,FHV,40373
2020-07-21,Taxi,29470
2020-07-21,FHV,39228
2020-07-22,Taxi,31478
2020-07-22,FHV,41248
2020-07-23,Taxi,30117
2020-07-23,FHV,40407
2020-07-24,Taxi,29194
2020-07-24,FHV,40838
2020-07-25,Taxi,24142
2020-07-25,FHV,31744
2020-07-26,Taxi,17541
2020-07-26,FHV,23799
2020-07-27,Taxi,28731
2020-07-27,FHV,41639
2020-07-28,Taxi,31953
2020-07-28,FHV,40725
2020-07-29,Taxi,34146
2020-07-29,FHV,41789
2020-07-30,Taxi,33873
2020-07-30,FHV,39946
2020-07-31,Taxi,34555
2020-07-31,FHV,41024
2020-08-01,Taxi,27646
2020-08-01,FHV,34105
2020-08-02,Taxi,19455
2020-08-02,FHV,26400
2020-08-03,Taxi,32429
2020-08-03,FHV,42689
2020-08-04,Taxi,26186
2020-08-04,FHV,36721
2020-08-05,Taxi,35980
2020-08-05,FHV,41349
2020-08-06,Taxi,36492
2020-08-06,FHV,41394
2020-08-07,Taxi,35530
2020-08-07,FHV,41564
2020-08-08,Taxi,26839
2020-08-08,FHV,32693
2020-08-09,Taxi,21514
2020-08-09,FHV,26574
2020-08-10,Taxi,32457
2020-08-10,FHV,42414
2020-08-11,Taxi,35234
2020-08-11,FHV,41479
2020-08-12,Taxi,36875
2020-08-12,FHV,42169
2020-08-13,Taxi,35772
2020-08-13,FHV,41072
2020-08-14,Taxi,36994
2020-08-14,FHV,42516
2020-08-15,Taxi,29442
2020-08-15,FHV,33540
2020-08-16,Taxi,19068
2020-08-16,FHV,25328
2020-08-17,Taxi,32680
2020-08-17,FHV,40920
2020-08-18,Taxi,36726
2020-08-18,FHV,41646
2020-08-19,Taxi,36612
2020-08-19,FHV,42542
2020-08-20,Taxi,38725
2020-08-20,FHV,42338
2020-08-21,Taxi,38423
2020-08-21,FHV,43705
2020-08-22,Taxi,30751
2020-08-22,FHV,34562
2020-08-23,Taxi,23241
2020-08-23,FHV,26930
2020-08-24,Taxi,34475
2020-08-24,FHV,42334
2020-08-25,Taxi,38696
2020-08-25,FHV,41322
2020-08-26,Taxi,39507
2020-08-26,FHV,42643
2020-08-27,Taxi,38537
2020-08-27,FHV,42835
2020-08-28,Taxi,39866
2020-08-28,FHV,43406
2020-08-29,Taxi,28033
2020-08-29,FHV,31705
2020-08-30,Taxi,27078
2020-08-30,FHV,27747
2020-08-31,Taxi,36019
2020-08-31,FHV,42692
2020-09-01,Taxi,39688
2020-09-01,FHV,45404
2020-09-02,Taxi,41527
2020-09-02,FHV,46371
2020-09-03,Taxi,43060
2020-09-03,FHV,47787
2020-09-04,Taxi,41981
2020-09-04,FHV,47247
2020-09-05,Taxi,30987
2020-09-05,FHV,35304
2020-09-06,Taxi,25360
2020-09-06,FHV,29189
2020-09-07,Taxi,25354
2020-09-07,FHV,29468
2020-09-08,Taxi,43457
2020-09-08,FHV,47140
2020-09-09,Taxi,47655
2020-09-09,FHV,47229
2020-09-10,Taxi,48295
2020-09-10,FHV,48172
2020-09-11,Taxi,50521
2020-09-11,FHV,47668
2020-09-12,Taxi,41372
2020-09-12,FHV,35512
2020-09-13,Taxi,29470
2020-09-13,FHV,27816
2020-09-14,Taxi,44625
2020-09-14,FHV,46738
2020-09-15,Taxi,49742
2020-09-15,FHV,46605
2020-09-16,Taxi,51389
2020-09-16,FHV,47588
2020-09-17,Taxi,53075
2020-09-17,FHV,47047
2020-09-18,Taxi,54215
2020-09-18,FHV,48177
2020-09-19,Taxi,43830
2020-09-19,FHV,36322
2020-09-20,Taxi,33839
2020-09-20,FHV,27827
2020-09-21,Taxi,46215
2020-09-21,FHV,46621
2020-09-22,Taxi,51190
2020-09-22,FHV,46053
2020-09-23,Taxi,54777
2020-09-23,FHV,47819
2020-09-24,Taxi,56284
2020-09-24,FHV,47542
2020-09-25,Taxi,58829
2020-09-25,FHV,48177
2020-09-26,Taxi,47145
2020-09-26,FHV,36142
2020-09-27,Taxi,35557
2020-09-27,FHV,28817
2020-09-28,Taxi,41203
2020-09-28,FHV,41630
2020-09-29,Taxi,54054
2020-09-29,FHV,46949
2020-09-30,Taxi,56196
2020-09-30,FHV,46675
2020-10-01,Taxi,60607
2020-10-01,FHV,44950
2020-10-02,Taxi,59094
2020-10-02,FHV,46104
2020-10-03,Taxi,49260
2020-10-03,FHV,35364
2020-10-04,Taxi,34494
2020-10-04,FHV,26747
2020-10-05,Taxi,47744
2020-10-05,FHV,44173
2020-10-06,Taxi,54181
2020-10-06,FHV,43680
2020-10-07,Taxi,57153
2020-10-07,FHV,44493
2020-10-08,Taxi,59721
2020-10-08,FHV,44109
2020-10-09,Taxi,58173
2020-10-09,FHV,44948
2020-10-10,Taxi,48185
2020-10-10,FHV,34617
2020-10-11,Taxi,34443
2020-10-11,FHV,26505
2020-10-12,Taxi,42638
2020-10-12,FHV,40134
2020-10-13,Taxi,54557
2020-10-13,FHV,42591
2020-10-14,Taxi,59294
2020-10-14,FHV,43394
2020-10-15,Taxi,62948
2020-10-15,FHV,43914
2020-10-16,Taxi,58372
2020-10-16,FHV,45300
2020-10-17,Taxi,52077
2020-10-17,FHV,33486
2020-10-18,Taxi,38795
2020-10-18,FHV,27234
2020-10-19,Taxi,51191
2020-10-19,FHV,44211
2020-10-20,Taxi,57412
2020-10-20,FHV,43339
2020-10-21,Taxi,59138
2020-10-21,FHV,44286
2020-10-22,Taxi,62159
2020-10-22,FHV,43793
2020-10-23,Taxi,61789
2020-10-23,FHV,44499
2020-10-24,Taxi,53349
2020-10-24,FHV,33485
2020-10-25,Taxi,39439
2020-10-25,FHV,27663
2020-10-26,Taxi,53401
2020-10-26,FHV,43447
2020-10-27,Taxi,59660
2020-10-27,FHV,42921
2020-10-28,Taxi,62978
2020-10-28,FHV,44312
2020-10-29,Taxi,64845
2020-10-29,FHV,46078
2020-10-30,Taxi,66249
2020-10-30,FHV,47401
2020-10-31,Taxi,57920
2020-10-31,FHV,35063
2020-11-01,Taxi,42863
2020-11-01,FHV,30721
2020-11-02,Taxi,55257
2020-11-02,FHV,45956
2020-11-03,Taxi,49758
2020-11-03,FHV,42445
2020-11-04,Taxi,49168
2020-11-04,FHV,44335
2020-11-05,Taxi,57463
2020-11-05,FHV,45230
2020-11-06,Taxi,60808
2020-11-06,FHV,45512
2020-11-07,Taxi,55121
2020-11-07,FHV,35144
2020-11-08,Taxi,41848
2020-11-08,FHV,28636
2020-11-09,Taxi,51948
2020-11-09,FHV,44958
2020-11-10,Taxi,62154
2020-11-10,FHV,45205
2020-11-11,Taxi,58527
2020-11-11,FHV,43407
2020-11-12,Taxi,62237
2020-11-12,FHV,45924
2020-11-13,Taxi,63099
2020-11-13,FHV,46208
2020-11-14,Taxi,52007
2020-11-14,FHV,34534
2020-11-15,Taxi,34895
2020-11-15,FHV,28178
2020-11-16,Taxi,52148
2020-11-16,FHV,45661
2020-11-17,Taxi,59506
2020-11-17,FHV,45829
2020-11-18,Taxi,62063
2020-11-18,FHV,46617
2020-11-19,Taxi,61125
2020-11-19,FHV,46049
2020-11-20,Taxi,61903
2020-11-20,FHV,46513
2020-11-21,Taxi,48758
2020-11-21,FHV,34407
2020-11-22,Taxi,32720
2020-11-22,FHV,28609
2020-11-23,Taxi,52550
2020-11-23,FHV,45215
2020-11-24,Taxi,56335
2020-11-24,FHV,45843
2020-11-25,Taxi,51859
2020-11-25,FHV,45617
2020-11-26,Taxi,24923
2020-11-26,FHV,32362
2020-11-27,Taxi,34264
2020-11-27,FHV,36934
2020-11-28,Taxi,35806
2020-11-28,FHV,30405
2020-11-29,Taxi,31811
2020-11-29,FHV,26262
2020-11-30,Taxi,45976
2020-11-30,FHV,42845
2020-12-01,Taxi,54849
2020-12-01,FHV,41533
2020-12-02,Taxi,55903
2020-12-02,FHV,42119
2020-12-03,Taxi,56776
2020-12-03,FHV,42747
2020-12-04,Taxi,57390
2020-12-04,FHV,42711
2020-12-05,Taxi,42775
2020-12-05,FHV,32418
2020-12-06,Taxi,37198
2020-12-06,FHV,28354
2020-12-07,Taxi,50675
2020-12-07,FHV,42878
2020-12-08,Taxi,56720
2020-12-08,FHV,42790
2020-12-09,Taxi,57622
2020-12-09,FHV,43100
2020-12-10,Taxi,59288
2020-12-10,FHV,42234
2020-12-11,Taxi,61194
2020-12-11,FHV,42593
2020-12-12,Taxi,46618
2020-12-12,FHV,32082
2020-12-13,Taxi,38726
2020-12-13,FHV,27030
2020-12-14,Taxi,51467
2020-12-14,FHV,42763
2020-12-15,Taxi,60886
2020-12-15,FHV,43109
2020-12-16,Taxi,50672
2020-12-16,FHV,37887
2020-12-17,Taxi,26421
2020-12-17,FHV,19730
2020-12-18,Taxi,59318
2020-12-18,FHV,41650
2020-12-19,Taxi,44091
2020-12-19,FHV,32446
2020-12-20,Taxi,31681
2020-12-20,FHV,27175
2020-12-21,Taxi,51526
2020-12-21,FHV,41667
2020-12-22,Taxi,56169
2020-12-22,FHV,40605
2020-12-23,Taxi,56755
2020-12-23,FHV,41923
2020-12-24,Taxi,44483
2020-12-24,FHV,40232
2020-12-25,Taxi,19112
2020-12-25,FHV,27819
2020-12-26,Taxi,28407
2020-12-26,FHV,29805
2020-12-27,Taxi,25892
2020-12-27,FHV,25990
2020-12-28,Taxi,40985
2020-12-28,FHV,37318
2020-12-29,Taxi,45866
2020-12-29,FHV,38103
2020-12-30,Taxi,47650
2020-12-30,FHV,39557
2020-12-31,Taxi,44795
2020-12-31,FHV,41036
